Titulares,P,CA,T,TaP,C,CP,CF,FR,FC,PI,BR,Reg,PA,P%,Eventos,partido,equipo,localizacion
Raúl De Tomás,-,-,1,1,0,0,0,1,0,0,0,5,0,60,,316,rayo,visitante
Bebé,-,-,3,1,7,0,3,0,1,1,1,1,0,72,,316,rayo,visitante
Gerónimo Rulli,1,0,0,0,0,0,0,0,0,0,0,0,0,63.4,,317,real_sociedad,local
Joseba Zaldua,-,-,0,0,1,0,0,5,0,2,1,1,0,40.7,,317,real_sociedad,local
Diego Javier Llorente,-,-,0,0,0,0,0,3,2,3,0,0,0,52.6,,317,real_sociedad,local
Aritz Elustondo,-,-,1,1,0,0,0,0,2,1,1,1,0,52.6,,317,real_sociedad,local
Aihen Muñoz,-,-,0,0,0,0,0,1,0,1,3,1,0,40.9,,317,real_sociedad,local
Igor Zubeldia  89',-,-,0,0,0,0,0,0,3,2,2,0,0,63.6,,317,real_sociedad,local
Mikel Merino,-,-,0,0,0,0,0,1,3,2,0,0,0,71.9,,317,real_sociedad,local
Mikel Oyarzabal,-,-,0,0,1,1,0,2,2,0,0,0,1,57.9,,317,real_sociedad,local
Luca Sangalli  65',-,-,0,0,0,0,0,0,0,1,1,2,1,60,,317,real_sociedad,local
Juanmi Jiménez,-,-,1,1,0,0,0,3,1,0,0,1,0,61.9,,317,real_sociedad,local
Ander Barrenetxea  55',-,-,0,0,2,0,0,1,1,0,0,1,0,55.6,,317,real_sociedad,local
Marko Dmitrovic,1,0,0,0,0,0,0,0,0,0,0,0,0,50,,317,eibar,visitante
Paulo Oliveira,-,-,1,0,0,0,0,0,0,1,2,0,0,67.8,,317,eibar,visitante
José Ángel  83',-,-,2,1,8,4,3,2,1,1,1,4,3,72.7,,317,eibar,visitante
Gonzalo Escalante,-,-,2,0,0,0,0,0,1,3,2,1,0,82.1,,317,eibar,visitante
Sergio Álvarez,-,-,0,0,0,0,0,0,3,0,2,1,0,81.8,,317,eibar,visitante
Fabián Orellana,-,-,2,0,0,0,0,4,1,0,1,0,0,70.7,,317,eibar,visitante
Pablo de Blasis,-,-,0,0,6,2,0,2,2,0,2,1,3,62.1,,317,eibar,visitante
Marc Cucurella,-,-,3,0,1,0,0,0,3,0,2,0,0,74.3,,317,eibar,visitante
Joan Jordan,-,-,2,1,3,1,0,1,1,3,1,1,3,86.7,,317,eibar,visitante
Marc Cardona  77',-,-,3,0,0,0,0,2,3,0,0,0,1,72.4,,317,eibar,visitante
Sergi Enrich,-,-,2,0,0,0,0,2,3,0,1,1,1,65.6,,317,eibar,visitante
Yassine Bono,5,0,0,0,0,0,0,0,0,0,0,0,0,94.7,,318,girona,local
Jonas Ramalho  69',-,-,0,0,6,0,2,0,0,0,0,0,0,92.3,,318,girona,local
Pedro Alcalá,-,-,2,0,0,0,0,1,1,1,0,0,2,86.4,,318,girona,local
Raúl García C.  85',-,-,1,0,16,4,1,1,0,2,1,1,1,75.6,,318,girona,local
Juanpe Ramírez,-,-,2,1,0,0,0,0,1,0,2,2,0,87.3,,318,girona,local
Pere Pons,-,-,0,0,0,0,0,0,4,0,3,0,0,82.5,,318,girona,local
Cristian Portu,-,-,1,0,3,1,1,3,0,1,0,1,0,79.3,,318,girona,local
Borja García,-,-,2,1,5,1,1,2,2,0,3,1,3,90,,318,girona,local
Patrick Roberts  63',-,-,2,2,1,0,0,0,0,0,0,2,0,77.3,,318,girona,local
Aleix García,-,-,0,0,14,3,2,0,1,2,0,2,3,88.6,,318,girona,local
Christian Stuani,-,-,2,0,0,0,0,2,3,0,0,0,1,72.7,,318,girona,local
